STREET,ADDRESS,SIDE,FROM,TO,METER,MECH ID,MODEL,DOOR,VAULT,ISSUES,SPACES,TIME
Worthington,232,N,Main,Stearns Sq,243,506,POM,Square,Extended,,1,2
Worthington,240E,N,Main,Stearns Sq,244,507,POM,Square,Extended,,1,2
Worthington,250E,N,Main,Stearns Sq,245,508,POM,Square,Extended,,1,2
Worthington,278,N,Stearns Sq,Dwight,246,509,POM,Square,Extended,,1,2
Worthington,280,N,Stearns Sq,Dwight,247,510,POM,Square,Extended,,1,2
Worthington,280,N,Stearns Sq,Dwight,248,511,POM,Square,Extended,,1,2
Worthington,296,N,Stearns Sq,Dwight,249,512,POM,Square,Extended,,1,2
Worthington,296,N,Stearns Sq,Dwight,250,513,POM,Square,Extended,,1,2
Worthington,195,SE,Main,Stearns Sq,260,514,POM,Square,Extended,,1,2
Worthington,195,SE,Main,Stearns Sq,261,515,POM,Square,Extended,,1,2
Worthington,195,SE,Main,Stearns Sq,262,516,POM,Square,Extended,,1,2
Worthington,203,SE,Main,Stearns Sq,263,517,POM,Square,Extended,,1,2
Worthington,203,SE,Main,Stearns Sq,264,518,POM,Square,Extended,,1,2
Worthington,205,SE,Main,Stearns Sq,265,519,Duncan,Round,Dual-Head,,1,2
Worthington,205,SE,Main,Stearns Sq,266,520,Duncan,Round,Dual-Head,,1,2
Worthington,213,SE,Main,Stearns Sq,267,521,Duncan,Round,Dual-Head,,1,2
Worthington,213,SE,Main,Stearns Sq,268,522,Duncan,Round,Dual-Head,,1,2
Worthington,221E,SE,Main,Stearns Sq,269,523,Duncan,Round,Dual-Head,,1,2
Worthington,221E,SE,Main,Stearns Sq,270,524,Duncan,Round,Dual-Head,,1,2
Worthington,251E,SE,Main,Stearns Sq,271,525,POM,Square,Extended,,1,2
Worthington,251E,SE,Main,Stearns Sq,272,526,POM,Square,Extended,,1,2
Worthington,331E,SE,Dwight,Chestnut,273,527,Duncan,Round,Dual-Head,,1,2
Worthington,331E,SE,Dwight,Chestnut,274,528,Duncan,Round,Dual-Head,,1,2
Worthington,331E,SE,Dwight,Chestnut,275,529,Duncan,Round,Single,,1,2
Worthington,355E,SE,Dwight,Chestnut,276,530,Duncan,Round,Single,,1,2
Worthington,359E,SE,Dwight,Chestnut,277,531,Duncan,Round,Dual-Head,,1,2
Worthington,359E,SE,Dwight,Chestnut,278,532,Duncan,Round,Dual-Head,,1,2
Worthington,375,SE,Dwight,Chestnut,279,533,POM,Square,Extended,,1,2
Bridge,198E,N,Main,E. Columbus,285,394,POM,Square,APM-2X,,2,2
Bridge,194E,N,Main,E. Columbus,286,395,POM,Square,APM-2X,,2,2
Bridge,188E,N,Main,E. Columbus,287,396,POM,Square,APM-2X,,2,2
Bridge ,252E,N,Main,Stearns Sq,290,397,POM,Square,Extended,,1,
Bridge,254,N,Stearns Sq,Main,291,398,POM,Square,Extended,,1,
Bridge,266,N,Stearns Sq,Main,292,399,POM,Square,Extended,,1,
Bridge,272,N,Stearns Sq,Main,293,400,POM,Square,Extended,,1,
Bridge,276,N,Stearns Sq,Main,294,401,POM,Square,Extended,,1,
Bridge,284,N,Stearns Sq,Main,295,402,POM,Square,Extended,,1,
Bridge,284,N,Stearns Sq,Main,296,403,POM,Square,Extended,,1,
Bridge,286,N,Stearns Sq,Main,297,404,POM,Square,Extended,,1,
Bridge,292E,N,Stearns Sq,Main,298,405,POM,Square,Extended,,1,
Bridge,294E,N,Stearns Sq,Main,299,406,POM,Square,Extended,,1,
Bridge,302E,N,Stearns Sq,Main,300,407,POM,Square,Extended,,1,
Bridge ,450E,NW,Pearl,Chestnut,301,408,POM,Square,Extended,,1,
Bridge ,458,NW,Pearl,Chestnut,302,409,POM,Square,Extended,,1,
Bridge ,458,NW,Pearl,Chestnut,303,410,POM,Square,Extended,,1,
Bridge ,464,NW,Pearl,Chestnut,304,411,POM,Square,Extended,,1,
Bridge ,468,NW,Pearl,Chestnut,305,412,POM,Square,Extended,,1,
Bridge ,472,NW,Pearl,Chestnut,306,413,POM,Square,Extended,,1,
Bridge ,486,NW,Pearl,Chestnut,307,414,POM,Square,Extended,,1,
Bridge ,492,NW,Pearl,Chestnut,308,415,POM,Square,Extended,,1,
Bridge ,492,NW,Pearl,Chestnut,309,416,POM,Square,Extended,,1,
